# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.640000000000000138e-02 4.206832801015948919e-01
3.280000000000000276e-02 1.751170838463448121e+00
4.920000000000000068e-02 3.888530276993503065e+00
6.560000000000000553e-02 6.937281530814885855e+00
8.200000000000000344e-02 1.085630105964636805e+01
9.840000000000000135e-02 1.575438109484427684e+01
1.146999999999999964e-01 2.141733323878226614e+01
1.310999999999999943e-01 2.810836921735659288e+01
1.474999999999999922e-01 3.570506263003453284e+01
1.638999999999999901e-01 4.437127040254915755e+01
1.802999999999999881e-01 5.377901403055815166e+01
1.967000000000000137e-01 6.449657399397320034e+01
2.131000000000000116e-01 7.617865680466725564e+01
2.295000000000000095e-01 8.882399044904371976e+01
2.459000000000000075e-01 1.029428114686644591e+02
2.622999999999999776e-01 1.178060569128528527e+02
2.787000000000000033e-01 1.342204088677855509e+02
2.950999999999999734e-01 1.517040146482885064e+02
3.114999999999999991e-01 1.708665763233274220e+02
3.279000000000000248e-01 1.914683263029890838e+02
3.442000000000000060e-01 2.131482825478866232e+02
3.605999999999999761e-01 2.363873304039130687e+02
3.770000000000000018e-01 2.615694574734141611e+02
3.934000000000000274e-01 2.891623538467744083e+02
4.097999999999999976e-01 3.176566121338001381e+02
4.262000000000000233e-01 3.487086862664259570e+02
4.425999999999999934e-01 3.820415262524662126e+02
4.590000000000000191e-01 4.177166428551861941e+02
4.753999999999999893e-01 4.563274206662167103e+02
4.918000000000000149e-01 4.974869751884987750e+02
5.081999999999999851e-01 5.412762635321524840e+02
5.245999999999999552e-01 5.888547246966528519e+02
5.410000000000000364e-01 6.404078802134721400e+02
5.574000000000000066e-01 6.955109219968404659e+02
5.736999999999999877e-01 7.553357124514800489e+02
5.900999999999999579e-01 8.203563160185321976e+02
6.065000000000000391e-01 8.906571009326889907e+02
6.229000000000000092e-01 9.670522045837982432e+02
6.392999999999999794e-01 1.051733871442515010e+03
6.556999999999999496e-01 1.143045133824835830e+03
6.721000000000000307e-01 1.244662218928284574e+03
6.885000000000000009e-01 1.356274348341524046e+03
7.048999999999999710e-01 1.479728233140620659e+03
7.213000000000000522e-01 1.616886667950476067e+03
7.377000000000000224e-01 1.769748197877793018e+03
7.540999999999999925e-01 1.941848495898168721e+03
7.704999999999999627e-01 2.135529934162126665e+03
7.869000000000000439e-01 2.356264174873067986e+03
8.032000000000000250e-01 2.607785711339050977e+03
8.195999999999999952e-01 2.896712222757646032e+03
8.359999999999999654e-01 3.233078757047782346e+03
8.524000000000000465e-01 3.623559929385293799e+03
8.688000000000000167e-01 4.081733255324381844e+03
8.851999999999999869e-01 4.626480210451662970e+03
9.015999999999999570e-01 5.272043769863570560e+03
9.180000000000000382e-01 6.046901852912244976e+03
9.344000000000000083e-01 6.976956584859656687e+03
9.507999999999999785e-01 8.092729565136491146e+03
9.671999999999999487e-01 9.426007622272134540e+03
9.836000000000000298e-01 1.099602412533252391e+04
1.000000000000000000e+00 1.280337950029092281e+04
1.016399999999999970e+00 1.481408288151528723e+04
1.032699999999999951e+00 1.694669929752891403e+04
1.049099999999999921e+00 1.906249483492297804e+04
1.065499999999999892e+00 2.097385256480158932e+04
1.081900000000000084e+00 2.247603549946288695e+04
1.098300000000000054e+00 2.338841296975666774e+04
1.114700000000000024e+00 2.361168086291542932e+04
1.131099999999999994e+00 2.314631294026361138e+04
1.147499999999999964e+00 2.210859727716447014e+04
1.163899999999999935e+00 2.068987387899389796e+04
1.180299999999999905e+00 1.910577802426218477e+04
1.196700000000000097e+00 1.754471986887453022e+04
1.213100000000000067e+00 1.614562763172136874e+04
1.229500000000000037e+00 1.498541167554004096e+04
1.245800000000000018e+00 1.410366802674264181e+04
1.262199999999999989e+00 1.351052868501956073e+04
1.278599999999999959e+00 1.319735120239565185e+04
1.294999999999999929e+00 1.316750585889753165e+04
1.311399999999999899e+00 1.341661646825991920e+04
1.327800000000000091e+00 1.394422316306788707e+04
1.344200000000000061e+00 1.475420035455505422e+04
1.360600000000000032e+00 1.583117480785054795e+04
1.377000000000000002e+00 1.714500224052526755e+04
1.393399999999999972e+00 1.862497342671933075e+04
1.409799999999999942e+00 2.015796204858945930e+04
1.426199999999999912e+00 2.159925784881351865e+04
1.442600000000000104e+00 2.277713679920404320e+04
1.459000000000000075e+00 2.354085963631241248e+04
1.475300000000000056e+00 2.378785391982429428e+04
1.491700000000000026e+00 2.351329951525458091e+04
1.508099999999999996e+00 2.279331322334878132e+04
1.524499999999999966e+00 2.177440145529267102e+04
1.540899999999999936e+00 2.063151558820123682e+04
1.557299999999999907e+00 1.952318081972391883e+04
1.573700000000000099e+00 1.857521715187835434e+04
1.590100000000000069e+00 1.786092961928377918e+04
1.606500000000000039e+00 1.742417687311876216e+04
1.622900000000000009e+00 1.727618136999933267e+04
1.639299999999999979e+00 1.742464951522902629e+04
1.655699999999999950e+00 1.786628833349092747e+04
1.672099999999999920e+00 1.859572915934978300e+04
1.688499999999999890e+00 1.960185438492063622e+04
1.704800000000000093e+00 2.086295631530864921e+04
1.721200000000000063e+00 2.234042331236847895e+04
1.737600000000000033e+00 2.396763319473377123e+04
1.754000000000000004e+00 2.564728086353677281e+04
1.770399999999999974e+00 2.725125813141635808e+04
1.786799999999999944e+00 2.862657853305281606e+04
1.803199999999999914e+00 2.963694805106356580e+04
1.819600000000000106e+00 3.019979265897934965e+04
1.836000000000000076e+00 3.030136834098176405e+04
1.852400000000000047e+00 3.001737314037562828e+04
1.868800000000000017e+00 2.948776830145666099e+04
1.885199999999999987e+00 2.887906534318435661e+04
1.901599999999999957e+00 2.835155572517386099e+04
1.917999999999999927e+00 2.802516520071616469e+04
1.934299999999999908e+00 2.799449420777147679e+04
1.950700000000000101e+00 2.832376601349962220e+04
1.967100000000000071e+00 2.905484655960559030e+04
1.983500000000000041e+00 3.020908044349228658e+04
1.999900000000000011e+00 3.177936123892303658e+04
2.016300000000000203e+00 3.373639618292667001e+04
2.032700000000000173e+00 3.599787880879977456e+04
2.049100000000000144e+00 3.845900349451768125e+04
2.065500000000000114e+00 4.099852971791949676e+04
2.081900000000000084e+00 4.352536436847544974e+04
2.098300000000000054e+00 4.600103152747111744e+04
2.114700000000000024e+00 4.847722346543901949e+04
2.131099999999999994e+00 5.109609020064796641e+04
2.147400000000000198e+00 5.404907237344158784e+04
2.163800000000000168e+00 5.755388938040198991e+04
2.180200000000000138e+00 6.177756198324944125e+04
2.196600000000000108e+00 6.678261622054014879e+04
2.213000000000000078e+00 7.250164218867232557e+04
2.229400000000000048e+00 7.870740496766456636e+04
2.245800000000000018e+00 8.503258954903147242e+04
2.262199999999999989e+00 9.100489349314291030e+04
2.278599999999999959e+00 9.613449457370622258e+04
2.294999999999999929e+00 1.000166062667730730e+05
2.311399999999999899e+00 1.024612779132475407e+05
2.327799999999999869e+00 1.035037867760899098e+05
2.344199999999999839e+00 1.034408379413693474e+05
2.360599999999999810e+00 1.026887833463094430e+05
2.376900000000000013e+00 1.016585959607039113e+05
2.393299999999999983e+00 1.006421484067558777e+05
2.409699999999999953e+00 9.973349954658707429e+04
2.426099999999999923e+00 9.884368770735559519e+04
2.442499999999999893e+00 9.780800388822999957e+04
2.458899999999999864e+00 9.646050135201336525e+04
2.475299999999999834e+00 9.471765162662272633e+04
2.491699999999999804e+00 9.265274777866492514e+04
2.508100000000000218e+00 9.048528304053210013e+04
2.524500000000000188e+00 8.854667757259141945e+04
2.540900000000000158e+00 8.718170734723401256e+04
2.557300000000000129e+00 8.667797213695726532e+04
2.573700000000000099e+00 8.720824165544119023e+04
2.590100000000000069e+00 8.878381903349615459e+04
2.606399999999999828e+00 9.126748899740813067e+04
2.622799999999999798e+00 9.439860964682663325e+04
2.639200000000000212e+00 9.779029237807790923e+04
2.655600000000000183e+00 1.009910315505223261e+05
2.672000000000000153e+00 1.035327665246944525e+05
2.688400000000000123e+00 1.050266674901823862e+05
